electrode	N_subjects	electrode_type	electrode2
audio_p	43	audio	audio_p
audio_s	43	audio	audio_s
dbs_01	1	dbs	dbs_L01
dbs_02	1	dbs	dbs_L02
dbs_03	1	dbs	dbs_L03
dbs_04	1	dbs	dbs_L04
dbs_L1	24	dbs	dbs_L1
dbs_L2	5	dbs	dbs_L2
dbs_L2a	7	dbs	dbs_L2A
dbs_L2A	14	dbs	dbs_L2A
dbs_L2b	7	dbs	dbs_L2B
dbs_L2B	14	dbs	dbs_L2B
dbs_L2c	7	dbs	dbs_L2C
dbs_L2C	14	dbs	dbs_L2C
dbs_L3	5	dbs	dbs_L3
dbs_L3a	7	dbs	dbs_L3A
dbs_L3A	14	dbs	dbs_L3A
dbs_L3b	7	dbs	dbs_L3B
dbs_L3B	14	dbs	dbs_L3B
dbs_L3c	7	dbs	dbs_L3C
dbs_L3C	14	dbs	dbs_L3C
dbs_L4	26	dbs	dbs_L4
dbs_L5	4	dbs	dbs_L5
dbs_L6	4	dbs	dbs_L6
dbs_L7	4	dbs	dbs_L7
dbs_L8	4	dbs	dbs_L8
dbs_Lb	3	dbs	dbs_L1
dbs_Lg	2	dbs	dbs_L3
dbs_Lr	3	dbs	dbs_L2
dbs_Lw	2	dbs	dbs_L4
dbs_R1	12	dbs	dbs_R1
dbs_R2	1	dbs	dbs_R2
dbs_R2a	5	dbs	dbs_R2A
dbs_R2A	6	dbs	dbs_R2A
dbs_R2b	5	dbs	dbs_R2b
dbs_R2B	6	dbs	dbs_R2B
dbs_R2c	5	dbs	dbs_R2C
dbs_R2C	6	dbs	dbs_R2C
dbs_R3	1	dbs	dbs_R3
dbs_R3a	5	dbs	dbs_R3A
dbs_R3A	6	dbs	dbs_R3A
dbs_R3b	4	dbs	dbs_R3b
dbs_R3B	6	dbs	dbs_R3B
dbs_R3c	4	dbs	dbs_R3C
dbs_R3C	6	dbs	dbs_R3C
dbs_R4	12	dbs	dbs_R4
ecog_101	34	ecog	ecog_101
ecog_102	30	ecog	ecog_102
ecog_103	30	ecog	ecog_103
ecog_104	34	ecog	ecog_104
ecog_105	39	ecog	ecog_105
ecog_106	39	ecog	ecog_106
ecog_107	37	ecog	ecog_107
ecog_108	40	ecog	ecog_108
ecog_109	40	ecog	ecog_109
ecog_110	39	ecog	ecog_110
ecog_111	40	ecog	ecog_111
ecog_112	38	ecog	ecog_112
ecog_113	39	ecog	ecog_113
ecog_114	36	ecog	ecog_114
ecog_115	39	ecog	ecog_115
ecog_116	38	ecog	ecog_116
ecog_117	39	ecog	ecog_117
ecog_118	37	ecog	ecog_118
ecog_119	39	ecog	ecog_119
ecog_120	36	ecog	ecog_120
ecog_121	39	ecog	ecog_121
ecog_122	39	ecog	ecog_122
ecog_123	40	ecog	ecog_123
ecog_124	39	ecog	ecog_124
ecog_125	38	ecog	ecog_125
ecog_126	39	ecog	ecog_126
ecog_127	38	ecog	ecog_127
ecog_128	39	ecog	ecog_128
ecog_129	38	ecog	ecog_129
ecog_130	38	ecog	ecog_130
ecog_131	40	ecog	ecog_131
ecog_132	40	ecog	ecog_132
ecog_133	35	ecog	ecog_133
ecog_134	36	ecog	ecog_134
ecog_135	37	ecog	ecog_135
ecog_136	36	ecog	ecog_136
ecog_137	39	ecog	ecog_137
ecog_138	39	ecog	ecog_138
ecog_139	37	ecog	ecog_139
ecog_140	38	ecog	ecog_140
ecog_141	38	ecog	ecog_141
ecog_142	38	ecog	ecog_142
ecog_143	34	ecog	ecog_143
ecog_144	39	ecog	ecog_144
ecog_145	37	ecog	ecog_145
ecog_146	40	ecog	ecog_146
ecog_147	40	ecog	ecog_147
ecog_148	36	ecog	ecog_148
ecog_149	38	ecog	ecog_149
ecog_150	39	ecog	ecog_150
ecog_151	39	ecog	ecog_151
ecog_152	40	ecog	ecog_152
ecog_153	39	ecog	ecog_153
ecog_154	40	ecog	ecog_154
ecog_155	35	ecog	ecog_155
ecog_156	34	ecog	ecog_156
ecog_157	32	ecog	ecog_157
ecog_158	36	ecog	ecog_158
ecog_159	33	ecog	ecog_159
ecog_160	35	ecog	ecog_160
ecog_161	34	ecog	ecog_161
ecog_162	36	ecog	ecog_162
ecog_163	37	ecog	ecog_163
ecog_201	30	ecog	ecog_201
ecog_202	29	ecog	ecog_202
ecog_203	30	ecog	ecog_203
ecog_204	29	ecog	ecog_204
ecog_205	25	ecog	ecog_205
ecog_206	26	ecog	ecog_206
ecog_207	24	ecog	ecog_207
ecog_208	25	ecog	ecog_208
ecog_209	23	ecog	ecog_209
ecog_210	24	ecog	ecog_210
ecog_211	25	ecog	ecog_211
ecog_212	24	ecog	ecog_212
ecog_213	23	ecog	ecog_213
ecog_214	24	ecog	ecog_214
ecog_215	24	ecog	ecog_215
ecog_216	25	ecog	ecog_216
ecog_217	24	ecog	ecog_217
ecog_218	25	ecog	ecog_218
ecog_219	25	ecog	ecog_219
ecog_220	23	ecog	ecog_220
ecog_221	22	ecog	ecog_221
ecog_222	25	ecog	ecog_222
ecog_223	24	ecog	ecog_223
ecog_224	23	ecog	ecog_224
ecog_225	25	ecog	ecog_225
ecog_226	24	ecog	ecog_226
ecog_227	23	ecog	ecog_227
ecog_228	25	ecog	ecog_228
ecog_229	25	ecog	ecog_229
ecog_230	25	ecog	ecog_230
ecog_231	23	ecog	ecog_231
ecog_232	21	ecog	ecog_232
ecog_233	22	ecog	ecog_233
ecog_234	24	ecog	ecog_234
ecog_235	22	ecog	ecog_235
ecog_236	24	ecog	ecog_236
ecog_237	23	ecog	ecog_237
ecog_238	23	ecog	ecog_238
ecog_239	21	ecog	ecog_239
ecog_240	23	ecog	ecog_240
ecog_241	22	ecog	ecog_241
ecog_242	21	ecog	ecog_242
ecog_243	23	ecog	ecog_243
ecog_244	23	ecog	ecog_244
ecog_245	22	ecog	ecog_245
ecog_246	23	ecog	ecog_246
ecog_247	24	ecog	ecog_247
ecog_248	23	ecog	ecog_248
ecog_249	25	ecog	ecog_249
ecog_250	24	ecog	ecog_250
ecog_251	25	ecog	ecog_251
ecog_252	25	ecog	ecog_252
ecog_253	22	ecog	ecog_253
ecog_254	25	ecog	ecog_254
ecog_255	25	ecog	ecog_255
ecog_256	25	ecog	ecog_256
ecog_257	25	ecog	ecog_257
ecog_258	24	ecog	ecog_258
ecog_259	21	ecog	ecog_259
ecog_260	23	ecog	ecog_260
ecog_261	24	ecog	ecog_261
ecog_262	24	ecog	ecog_262
ecog_263	24	ecog	ecog_263
ecog_301	1	ecog	ecog_301
ecog_302	1	ecog	ecog_302
emg_extL	2	emg	emg_extL
emg_extR	2	emg	emg_extR
emg_flexL	2	emg	emg_flexL
emg_flexR	2	emg	emg_flexR
emg_handL	2	emg	emg_handL
emg_handR	2	emg	emg_handR
envaudio_p	43	envaudio	envaudio_p
envaudio_s	43	envaudio	envaudio_s
macro_a	1	macro	macro_a
macro_c	28	macro	macro_c
macro_m	27	macro	macro_m
macro_p	27	macro	macro_p
micro_a	1	micro	micro_a
micro_c	28	micro	micro_c
micro_m	26	micro	micro_m
micro_p	27	micro	micro_p
mirco_m	1	mirco	mirco_m
resp	21	resp	resp
V0_con4	1	v0	V0_con4a
v0_con4a	2	v0	V0_con4a
V0_con4a	33	v0	V0_con4a
V0_con4b	2	v0	V0_con4b
V0_con4d	1	v0	V0_con4d
V0_con8	1	v0	V0_con8a
v0_con8a	2	v0	V0_con8a
V0_con8a	20	v0	V0_con8a
V0_portA1gnd1	6	v0	V0_portA1gnd1
V0_portA1gnd2	6	v0	V0_portA1gnd2
V0_portA1ref1	6	v0	V0_portA1ref1
V0_portA1ref2	6	v0	V0_portA1ref2
vibr	2	vibr	vibr